entry,key,metric_name,family,family_name,business_question,formula,numerator,denominator,window,filters,grain,unit,required_fields,interpretation,common_failure,verification,common_variants,owned_by
B.5.4,post_click_conversion_rate,Post-click conversion rate,B.5,"Acquisition, media, and campaign","Of the people who clicked, how many converted?",conversions / clicks,"Attributed conversion events on the campaign, counted on the same basis as the denominator","Click events on the same campaign, counted on the same basis as the numerator","The campaign window, plus the platform's conversion window","One campaign; the column is named for its denominator so that the definition travels with the number. Numerator and denominator must count the same unit: unique clickers against unique converters, sessions against converted sessions, or click events against conversion events under a stated one-conversion-per-click convention.",One campaign,Proportion,"conversions, clicks","One of at least four quantities the phrase conversion rate can denote. Conversions may be divided by clicks, sessions, visitors, leads, or recipients, and the results differ.","Reporting it as 'conversion rate' with no denominator named, or averaging the four campaign rates instead of pooling. Chapter 1's campaigns give 0.1161 pooled against 0.1179 averaged.","Bounded in [0, 1] only when numerator and denominator count the same unit on the same basis; a value above 1 means they do not, most often because one converter was credited with several conversions against a single click. Confirm the conversion window is the same across any campaigns being compared.","Conversion over impressions, over sessions, and over recipients are all in circulation. They are different metrics, not different estimates of one.","Chapter 1, Section 1.10"
B.5.5,cpc,Cost per click (CPC),B.5,"Acquisition, media, and campaign",What did each click cost?,spend / clicks,Media spend on the campaign,Clicks on the same campaign,The campaign window,One campaign; a campaign with zero clicks has an undefined cost per click,One campaign,Dollars per click,"spend, clicks","An auction-efficiency measure. Low cost per click with low conversion buys traffic, not customers.","Letting a zero denominator produce an infinite value. A rate over nothing is undefined, not infinite, and a table full of inf is a denominator problem wearing a printing error.",Recompute from pooled totals when aggregating; never average campaign-level rates.,,"Chapter 5, Section 5.7"
B.5.6,cpm,Cost per thousand impressions (CPM),B.5,"Acquisition, media, and campaign",What did it cost to reach the audience a thousand times?,"spend / impressions x 1,000",Media spend,"Impressions, scaled to thousands",The campaign window,One campaign,One campaign,Dollars per thousand impressions,"spend, impressions",A buying-price measure that says nothing about response. Chapter 1's Clearance campaign runs at $139.71 against New Arrivals at $34.62.,Comparing cost per thousand across channels whose impression definitions differ. A video impression and a display impression are not the same event.,Confirm the factor of one thousand is applied once. Recompute from pooled totals when aggregating.,,Appendix B; the book computes spend and impressions but does not name this ratio
B.5.7,cost_per_conversion,Cost per conversion,B.5,"Acquisition, media, and campaign",What did each conversion cost in advertising?,ad_spend / conversions,Advertising spend on the campaign,Conversions attributed to the same campaign,The campaign window plus the conversion window,"One campaign; advertising spend only, excluding creative production and agency fees. A campaign with zero conversions has an undefined cost per conversion and is reported separately.",One campaign,Dollars per conversion,"ad_spend, conversions","A campaign-level efficiency measure. It is not customer acquisition cost, because a conversion is not necessarily a new customer.",Reading it as acquisition cost. Repeat purchases convert too.,"Recompute from pooled totals when aggregating. Confirm the spend column excludes non-media cost, or rename it.",,"Chapter 1, Exercise 1.4"
B.5.8,cac,Customer acquisition cost (CAC),B.5,"Acquisition, media, and campaign",What did it cost to acquire one new customer?,Acquisition spend / customers acquired,"Acquisition spend, on a stated cost basis","Customers acquired, on a stated definition of acquired","A stated window, with the window and the definition of acquired doing most of the work",Stated channel and campaign attribution rules,"One acquired customer, reported for a cohort",Dollars per customer,"spend, customer_id, signup_date or first order_date","The most reliably contested marketing metric, because two defensible cost bases produce two very different numbers and each answers a different question.","Comparing a campaign-attributed figure against a fully loaded one. Marketing's number - campaign spend over attributed new customers - is usually and sometimes substantially smaller than finance's, which divides total sales and marketing expense by every new customer, attributed or not.","State the cost basis, the attribution rule, and the definition of acquired in the same place as the number. If the organization cannot state all three, that is the finding.",Campaign cost per acquisition against fully loaded customer acquisition cost. Neither is wrong; they are different metrics and must not be compared.,"Chapter 5, Section 5.7; the dispute is set out in Chapter 3, Section 3.12.2"
B.5.9,roas,Return on ad spend (ROAS),B.5,"Acquisition, media, and campaign",How much revenue came back for each advertising dollar?,revenue / ad_spend,Revenue attributed to the campaign,"Advertising spend on the campaign, excluding creative production and agency fees",The campaign window plus the attribution window,One campaign; a campaign with zero advertising spend has an undefined return on ad spend and is reported separately rather than assigned an infinite value,One campaign,Ratio,"revenue, ad_spend","Attributed, not incremental. Return on ad spend answers what revenue was credited to the campaign, not what revenue the campaign caused.","Two distinct failures. First, ignoring margin: Chapter 1's Clearance campaign returns 2.46 on revenue and destroys $5,288 of contribution. Second, reading it causally: an attributed figure becomes an incremental one only through an experiment or a designed holdout.",Recompute from pooled totals when aggregating; the four campaigns pool to 5.79 against an average of 12.33. Then compute net contribution after advertising spend beside it.,"Incremental return on ad spend, measured against a randomized or geographic holdout, is a different and stronger quantity. Use the word incremental only when the evidence supports it.","Chapter 1, Section 1.10"
B.5.10,attributed_orders,Attributed orders,B.5,"Acquisition, media, and campaign",How many orders were credited to a campaign?,Count of distinct order_id among lines carrying the campaign_id,Distinct orders carrying the campaign identifier,None - it is a count,Stated period,"Lines with a non-null campaign_id; a null campaign_id may mean unattributed or may mean attribution failed, and the two look identical in the file",One campaign,Count of orders,"order_id, campaign_id","The product of an attribution rule, not an observation. An attributed order may be credited on a view rather than a click.","Dropping null campaign_id rows before computing campaign performance, which assumes every null is a legitimate non-attribution.",Attributed orders summed across campaigns must not exceed the distinct order count of the file. An order carrying two campaign identifiers would be counted once under each while that reconciliation still passed.,,"Chapter 5, Section 5.8"
B.5.11,attribution_window,Attribution (conversion) window,B.5,"Acquisition, media, and campaign",How long after an interaction may a conversion still be credited to it?,"A declared number of days following a click, view, or engaged view",Not applicable - it is a parameter of other metrics,Not applicable,It is the window,Set per conversion action and per platform,Applies to every attributed metric downstream,Days,"A platform setting, recorded alongside every attributed figure",A configuration value with a budget attached. Shortening it reduces the conversions the account records; the customers do not change.,"Comparing channels measured on different windows. Every platform ships its own defaults, so this happens easily and the comparison is not close to fair.",Record the window beside every attributed figure and refuse to compare channels whose windows differ.,,"Chapter 3, Section 3.12.3"
B.6.1,delivery_rate,Delivery rate,B.6,CRM and engagement,What share of messages reached an inbox?,delivered / sent,Messages accepted by the receiving server,Messages sent,"The send, or a stated period of sends","One send, or a stated roll-up",One send,Percentage,"sent, delivered",The denominator every downstream engagement rate should probably use.,"Ignoring it, and then computing open rate on sends without saying so.","Delivery rate and bounce rate sum to 1 only once every message in the send has reached a final delivered-or-bounced status and the denominator excludes suppressed, pending, and otherwise unresolved records. State that condition, or state the share still unresolved.",,Appendix B; the book names deliverability but catalogs no formula
B.6.2,bounce_rate,Bounce rate,B.6,CRM and engagement,What share of messages failed to reach an inbox?,bounced / sent,"Messages rejected, hard or soft",Messages sent,The send,One send; state whether hard and soft bounces are combined,One send,Percentage,"sent, bounced",A list-health measure. A rising bounce rate is a data-quality finding before it is a marketing one.,"Combining hard and soft bounces silently, which hides a list-decay signal inside a transient one.","Bounce rate and delivery rate sum to 1 only under the condition stated in the delivery-rate entry: every message resolved, and no suppressed or pending records in the denominator.",,Appendix B
B.6.3,open_rate,Open rate,B.6,CRM and engagement,What share of recipients opened the message?,Unique opens / delivered. The headline definition counts unique opens; total opens is a different numerator and a different metric,Unique opens — one per recipient who opened at least once,"Delivered messages, or sent messages - these are different denominators","The send, plus a stated attribution period for late opens","One send, or a stated roll-up",One send,Percentage,"unique_opens, delivered, sent","A weak behavioral measure. Technical privacy protections pre-fetch images on the recipient's behalf, so an open may record no human attention at all.","Circulating three denominators under one name. On the worked example, 2,688 opens is 28.0 percent of delivered and 26.9 percent of sent - both correct, and not the same metric.","Bounded in [0, 1] for the unique-open form only. A total-open rate is not bounded by 1, because one recipient can open repeatedly, and it should be reported as opens per delivered message rather than as a percentage. State the base — sent or delivered — in the same sentence, and never compare an open rate across a period in which the platform changed its open measurement.","Unique opens over delivered is the headline. Unique opens over sent is defensible and systematically smaller. Total opens over delivered is a different quantity altogether: it counts events rather than recipients, has no upper bound of 1, and must not be labeled a rate alongside the other two.","Chapter 5, Section 5.7"
B.6.4,click_rate,Click rate,B.6,CRM and engagement,What share of recipients clicked?,Unique clicks / delivered. The headline definition counts unique clicks; total clicks is a different numerator and is not bounded by 1,Unique clicks — one per recipient who clicked at least once,"Delivered, or sent","The send, plus a stated attribution period","One send, or a stated roll-up",One send,Percentage,"unique_clicks, delivered, sent","A stronger behavioral signal than open rate, because it is harder to trigger without intent.","Comparing a click rate computed on delivered against one computed on sent. On the worked example, 384 clicks is 4.00 percent of delivered and 3.84 percent of sent.","Bounded in [0, 1] for the unique-click form only; a total-click count per delivered message has no upper bound of 1. Do not assume the click rate cannot exceed the open rate: a click can be recorded when the open-tracking pixel was blocked or never fired, so the ordering is an expectation rather than a guarantee, and a reversal is a tracking finding rather than an arithmetic error.",,"Chapter 5, Section 5.7"
B.6.5,ctor,Click-to-open rate (CTOR),B.6,CRM and engagement,"Of the people who opened, how many clicked?",Unique clicks / unique opens,Unique clicks,Unique opens,The send,One send,One send,Percentage,"unique_clicks, unique_opens","A content and offer measure, holding the subject line constant. On the worked example, 384 over 2,688 is 14.3 percent.","Reading it as an engagement rate on the list. Its denominator is opens, which are themselves an unreliable count.","Bounded in [0, 1]. Because opens are inflated by automatic pre-fetching, this rate is deflated by the same mechanism.",,Appendix B
B.6.6,unsubscribe_rate,Unsubscribe rate,B.6,CRM and engagement,What did this message cost in permission?,Unsubscribes / delivered,Unsubscribe events attributed to the send,Delivered messages,"The send, plus a stated attribution period",One send,One send,Percentage,"unsubscribes, delivered",A guardrail rather than a performance measure. A campaign that wins on click rate and loses permission has not won.,Omitting it from a campaign readout because it is small. The cost is cumulative and irreversible.,"Bounded in [0, 1]. Where the field is not instrumented, say so: a preregistered guardrail that cannot be calculated is a design defect, not a minor gap.",,"Chapter 11, Table 11.3, where it is named as an instrumentation obligation"
B.6.7,opt_in_rate,Opt-in rate,B.6,CRM and engagement,What share of customers have consented to be contacted on this channel?,Customers with the channel's consent flag set / customers in the stated population,"Customers with email_opt_in true, or with sms_opt_in true — one channel at a time, never combined",Customers in the stated population,"A point in time, as of a stated date",Stated population; one named channel,"One customer, reported for a population",Percentage,"email_opt_in or sms_opt_in, customer_id","A permission measure. Because a Boolean is stored as 1 and 0, its mean is a legitimate and useful quantity.","Folding app_user into this rate. Installing an application is not consent to be contacted, and the two belong in separate entries; see the app-user share below. A second failure is reading opt-in as interest, when it may measure the aggressiveness of the signup flow in force when the customer joined.","Bounded in [0, 1]. Confirm the flag is genuinely Boolean and that missing values have not been coerced to false. Report one channel per figure.",,"Chapter 3, Section 3.4.1"
B.6.8,app_user_share,App-user share,B.6,CRM and engagement,"What share of customers have the mobile application, as of today?",Customers with app_user true / customers in the stated population,Customers with app_user true,Customers in the stated population,"A point in time, as of a stated date. This is a stock, not a flow: it is not an adoption or activation rate over a window.",Stated population,"One customer, reported for a population",Percentage,"app_user, customer_id",A reachability measure and a strong behavioral correlate — Chapter 7 spends a whole section on why that correlation is not an effect.,"Treating it as consent, or as an adoption rate. app_user records installation at a point in time; it carries no permission and no date, so a change between two extracts cannot be attributed to a period.","Bounded in [0, 1]. State the as-of date, since the field is overwritten rather than versioned.",,Appendix B; the guide uses app_user as a feature and a holdout but catalogs no share
B.7.1,stage_count,Stage count,B.7,Funnel,How many units reached this stage?,Count of units meeting the stage's membership rule,Units at the stage,None - it is a count,"A single stated window, identical across every stage","A stated membership rule per stage, and a stated event-order requirement","The funnel's unit - session, visitor, customer, or lead. One unit for the whole funnel.",Count,"Whatever the stage rules require, plus a stage timestamp","Every stage of a funnel must count the same kind of thing. Sessions, clicks, and orders are three different units, not three stages.",Building a funnel whose stages count different units and calling the last figure a conversion rate.,"Each stage's count must be no greater than the stage above it, once the event-order requirement is enforced.",,"Chapter 5, Section 5.8"
B.7.2,step_conversion,Stage-to-stage conversion rate,B.7,Funnel,"Of the units that reached this stage, how many reached the next?",Count at this stage / count at the previous stage,Units at this stage,Units at the immediately preceding stage,"One window, shared by both stages",Shared membership rules; both stages must count the same unit,The funnel's unit,Percentage,Stage counts,"Localizes the loss. On the worked funnel, carts to orders converts at 40.0 percent while sessions to product views converts at 30.0 percent.",Quoting a step rate and a cumulative rate under one word. A reader told one while imagining the other is misinformed by true numbers.,"Bounded in [0, 1]. The product of the step rates must equal the cumulative rate at the bottom: 0.300 x 0.250 x 0.400 = 0.030.",,"Chapter 5, Section 5.8"
B.7.3,cumulative_conversion,Cumulative (overall) conversion rate,B.7,Funnel,"Of everyone who entered, how many finished?",Count at this stage / count at the top of the funnel,Units at this stage,Units at the funnel's top stage,One window,Shared membership rules,The funnel's unit,Percentage,Stage counts,The end-to-end figure. On the worked funnel it is 3.0 percent from session to order.,"Computing it across stages drawn from different populations or periods, or dividing orders by impressions and calling the result a funnel conversion rate. Impressions are advertising delivery, not funnel entrants.","Must equal the product of the step rates. If it does not, a stage is counting a different unit.",,"Chapter 5, Section 5.8"
B.7.4,dropoff_rate,Drop-off rate,B.7,Funnel,What share of units were lost at this step?,1 − stage-to-stage conversion rate,Units that reached the previous stage and not this one,Units at the previous stage,One window,Shared membership rules,The funnel's unit,Percentage,Stage counts,"The complement of the step rate, and often the more actionable framing.",Adding drop-off rates across steps. They are computed on different denominators and do not sum.,Drop-off and step conversion must sum to 1 at every step.,,Appendix B; the book computes step rates but does not name the complement
B.8.1,segment_size,Segment size,B.8,Segmentation and targeting,How many customers are in this segment?,Count of customers assigned to the segment,Customers in the segment,None - it is a count,The window in which the segmenting features were built,"The declared segmentation population - at StyleCraft, customers with at least one order in the window",One segment,Count of customers,"customer_id, the segment assignment","Sizes are findings, not footnotes: size is the first row of the profile.","Treating size alone as substantiality. Whether a segment is worth serving is a threshold question about whether differentiated execution pays, not a headcount test.",Segment sizes must sum to the population that was segmented.,,"Chapter 6, Section 6.10"
B.8.2,customer_share,Segment share of customers,B.8,Segmentation and targeting,What portion of the base does this segment represent?,Customers in the segment / customers in the segmented population,Customers in the segment,"Customers in the segmented population, which is not the same as the customer file",The feature window,The declared segmentation population,One segment,Proportion,"customer_id, the segment assignment","On the practice file, NYC Suburban holds 37.5 percent of customers and 45.8 percent of revenue.",Quoting the share against the whole customer file when the segmentation excluded non-purchasers.,Shares must sum to 1.,,"Chapter 6, Section 6.11"
B.8.3,revenue_share,Segment share of revenue,B.8,Segmentation and targeting,What portion of revenue does this segment produce?,Segment revenue / total revenue in the window,Revenue of the segment's customers,Total revenue of the segmented population,The feature window,The declared segmentation population,One segment,Proportion,"line_revenue, customer_id, the segment assignment",Read beside the customer share. A segment holding a fifth of customers and a half of revenue is a different proposition from one holding both.,"Reporting a segment revenue share that does not add back to the certified window total, which means customers were lost between the feature table and the summary.","Shares must sum to 1, and segment revenues must sum to the certified window revenue.",,"Chapter 6, Section 6.11"
B.8.4,rfm_scores,"RFM scores (R, F, M)",B.8,Segmentation and targeting,"Where does this customer rank on recency, frequency, and spending?","Quintile scores from 1 to 5 on recency and monetary value, with recency reverse-scored; frequency scored in declared bands where the data will not support five equal-count bins",Rank position within the scored population,"Five bins, equal-count for quintiles and declared-threshold for bands",The declared analysis window,The scored population; every customer with the same frequency must receive the same frequency score,One customer,"Ordinal score, unitless","recency_days, frequency, monetary","Scores preserve rank, not level. The top monetary quintile exists even when spending has fallen for every customer in the base.","Forcing five equal-count frequency bins on a lumpy count. Where a large share of customers have exactly one order, quintiles either fail outright or split identical customers on row order, which carries no behavioral content.","Assert that customers sharing a frequency share a score. Report the cut points beside the scores, since the scores are not comparable across periods or populations without them.",Monetary value may be scored on total revenue or on average order value. Total rewards frequent modest baskets; average rewards rare large ones.,"Chapter 6, Section 6.5"
B.8.5,rfm_region,RFM grid region,B.8,Segmentation and targeting,Which named behavioral region does this customer fall in?,"A published lookup from the (R, F) score pair to a named region","Not applicable - a lookup, not a ratio",Not applicable,The declared analysis window,The scored population,One customer,Categorical label,R and F scores,"The grid sees exactly three behaviors and draws its regions on two of them, so the largest-spending customer can land in an at-risk region.","Publishing a grid with gaps or overlaps, which lets two analysts apply the same rules and reach different assignments.",Assert the grid is exhaustive and mutually exclusive over all twenty-five score pairs.,,"Chapter 6, Section 6.5"
B.8.6,silhouette,Silhouette score,B.8,Segmentation and targeting,How cleanly separated is a clustering solution?,"For each customer, the comparison of average distance to its own cluster against average distance to the nearest other cluster, averaged over customers",Not applicable - a scaled comparison,Not applicable,The feature window,The standardized clustering inputs,"One customer, then averaged across the solution",Unitless score between -1 and +1,The standardized feature matrix and the cluster assignment,"Near +1 means snugly placed, near 0 means on a boundary, negative means arguably misassigned.","Obeying it. The silhouette often crowns the coarsest cut, because the coarsest cut is the cleanest, even when finer structure is real and strategically necessary.","Report it beside the inertia curve and the business constraint on the number of treatments. It grades geometry only: a high score says the partition is clean, not that its groups are marketing segments.",,"Chapter 6, Section 6.9"
B.8.7,ari,Adjusted Rand index (ARI),B.8,Segmentation and targeting,Do two clustering solutions agree about which customers belong together?,"Over all pairs of customers, how often two solutions agree about whether the pair belongs together, corrected for the agreement expected by chance",Not applicable - a chance-corrected pairwise agreement,Not applicable,The feature window,The customers both solutions saw,"One pair of customers, summarized per pair of partitions","Index, unitless; 1.0 for identical partitions, near 0 for chance-level agreement, and negative for less agreement than chance, with a lower bound of −0.5",Two cluster assignments over the same customers,"Invariant to relabeling, which is why it replaces cross-tabulating dominant cells. Used for three distinct questions: stability across seeds, sensitivity to the feature set, and recovery of a designed answer key.",Reading reproducibility as meaning. High agreement establishes that the partition is reproducible; it does not establish that the groups are marketing segments.,A solution compared with itself must return exactly 1.0; assert it as a control before trusting any other value.,,"Chapter 6, Section 6.10"
B.8.8,inertia,Inertia (within-cluster sum of squares),B.8,Segmentation and targeting,How tightly do customers sit around their assigned cluster centers?,Total of squared distances from customers to their assigned centroids,Not applicable - a sum of squared distances,Not applicable,The feature window,The standardized clustering inputs,One clustering solution at a given number of clusters,"Squared standardized distance, unitless",The standardized feature matrix and the fitted model,Its level is uninformative; its shape across candidate cluster counts is the signal. It reaches zero at one cluster per customer.,"Citing low inertia as validation. It is a fit statistic, not evidence that the partition means anything.",Expect it to fall and flatten. A rise at a higher cluster count is a warning to inspect initialization and convergence rather than a finding.,,"Chapter 6, Section 6.8"
B.8.9,centroid,Cluster centroid,B.8,Segmentation and targeting,What does the typical member of this cluster look like?,"The mean of the cluster's members on every clustering feature, read in standardized units and then in native units",Sum of feature values within the cluster,Customers in the cluster,The feature window,"The clustering features only; profiling attributes are read after assignment, never used as inputs",One cluster on one feature,"Standard deviations, then the feature's own units",The standardized feature matrix and the cluster assignment,A centroid of -0.8 on recency means the cluster buys more recently than average by four fifths of a standard deviation.,"Reading a centroid as a description of every member. Cluster means are means: a monetary centroid can be propped by a few large customers, so spreads and medians travel with it.",Recompute the centroids as group means of the standardized features and confirm they match the fitted model's. A cluster whose mean contradicts its own median is not one story.,,"Chapter 6, Section 6.10"
B.9.1,pearson_r,Pearson correlation coefficient (r),B.9,Regression and predictive-model evaluation,"How strongly, and in which direction, do two quantities move together?",Sample covariance of the two variables / the product of their two sample standard deviations,Sample covariance,Product of the two sample standard deviations,The window in which both variables were measured,"Complete pairs. Software computes each cell of a correlation matrix over the rows complete for that pair, so one partly missing column produces a matrix whose cells describe different populations while presenting them as one exhibit.","The grain at which both variables were measured - state it, because r computed over stores and r computed over customers are different quantities","Unitless, between -1 and +1",Two numeric variables measured for the same observational cases and at the same grain,"A linear, symmetric, pairwise association. It is not directional, so 'drivers' language does not follow from it.",Reading a correlation near 0.9 on individual behavior as a triumph. Near-perfect r usually means the two columns are the same fact wearing two names.,Undefined when either variable has zero variance; software returns a missing value rather than zero. Always plot the scatter: identical statistics do not mean identical evidence.,Population covariance divides by n and sample covariance by n − 1. Correlation is invariant to the choice; covariance is not.,"Chapter 7, Section 7.3"
B.9.2,r_squared,R-squared,B.9,Regression and predictive-model evaluation,How much of the outcome's variation does this model account for on this data?,"1 − (residual variation / total variation), where total variation is the sum of squared deviations of the outcome around its own mean","Residual sum of squares, subtracted from 1 as a ratio",Total sum of squares around the outcome's mean,The model's own estimation sample,"In-sample, with an intercept, on the same observations, for nested models",One model,Proportion under the stated conditions; it is not bounded below by zero out of sample,Fitted values and actual outcomes,"A measure of fit to this data. It is not a percentage of predictions that were right, and it is not accuracy.","Reading a rising R-squared as a better model. Because it cannot decrease when a variable is added, a rise is not by itself evidence of anything. An R-squared above roughly 0.9 on individual customer behavior should be treated as a defect report rather than a result.","Confirm the model carries an intercept, since the uncentered version computed without one is not comparable and is routinely larger. Out of sample the statistic can go negative, which is a sign that it is not a percentage of anything.",,"Chapter 7, Section 7.7"
B.9.3,coefficient,Regression coefficient,B.9,Regression and predictive-model evaluation,"How much does the outcome differ, per unit of this predictor, holding the model's other predictors fixed?","The fitted slope from ordinary least squares; for a dummy, the difference against the reference category",Not applicable - a fitted parameter,Not applicable,The estimation window,The estimation sample; adding or removing a predictor changes every other coefficient's meaning,"One predictor, in outcome units per predictor unit","Outcome units per predictor unit; for a dummy, outcome units relative to the reference",The design matrix and the outcome,"A coefficient is not read until its units are said aloud. Ceteris paribus means other included things equal, and a perfectly adjusted difference is still an association.","Reading a dummy coefficient as a level. The wrong sentence is 'the model shows Suburban Occasion customers spend $X'; the coefficient is dollars relative to the reference category, not dollars absolutely.","Check sign, magnitude, units, and reference category against the descriptive figures the same data produced. Report the coefficient and its interval from the same fit.",,"Chapter 7, Section 7.8"
B.9.4,conf_int_coefficient,Confidence interval for a coefficient,B.9,Regression and predictive-model evaluation,How precisely is this association estimated?,"The fitted coefficient plus and minus a multiple of its standard error, at a stated confidence level",Not applicable,Not applicable,The estimation window,The estimation sample; robust and non-robust standard errors give different intervals from identical coefficients,One coefficient,Outcome units per predictor unit,The coefficient and its standard error,"At large sample sizes nearly everything clears conventional significance, so the interval's width separates a great deal that the p-value separates hardly at all.",Quoting the coefficient from one fit and the p-value from another. Robust standard errors change the interval and leave the coefficient and the fitted values unchanged; mixing them answers two questions at once.,The point estimate must lie inside its own interval. State the confidence level and the standard-error type.,,"Chapter 7, Section 7.10"
B.9.5,p_value,p-value,B.9,Regression and predictive-model evaluation,"How surprising is this estimate, if the stated null hypothesis and model are correct?","The probability, assuming the null and the model, of a test statistic at least as extreme as the one observed",Not applicable,Not applicable,The estimation window,"The stated null hypothesis, which for a coefficient is that it equals zero given the model's other variables",One hypothesis test,Probability between 0 and 1,The test statistic and its reference distribution,"A measure of surprise under the null. It is not the probability that a hypothesis is true, statistical significance is not practical significance, and no single p-value should by itself determine a conclusion.","Reading small as important. On eight thousand customers, near-trivial associations clear the conventional threshold easily.","Report it beside the effect size and the interval, never alone.",,"Chapter 7, Section 7.10"
B.9.6,mae,Mean absolute error (MAE),B.9,Regression and predictive-model evaluation,By how much does a numeric prediction typically miss?,The mean of the absolute differences between actual and predicted values,Sum of absolute errors,Number of evaluated cases,The outcome window of the evaluated cases,"Evaluated out of sample; on the test set for the final grade, and on training folds during development","One prediction, averaged over the evaluated population",The target's own units - dollars for a spend target,Actual and predicted values,"The typical miss, with every error weighted equally. On the worked example the model misses by $14.00 against a mean baseline that misses by $36.88.","Reporting a distance metric alone for a ranking decision, which quietly substitutes a question the analyst can answer for the one the business asked.","Lower is better, so a value far below the baselines is the suspicious result and far above is the broken one. Compare against the strongest applicable baseline on the same folds.",,"Chapter 8, Section 8.6"
B.9.7,rmse,Root mean squared error (RMSE),B.9,Regression and predictive-model evaluation,"By how much does a numeric prediction miss, weighting large misses more heavily?",The square root of the mean squared difference between actual and predicted values,"Sum of squared errors, square-rooted after averaging",Number of evaluated cases,The outcome window,Evaluated out of sample,"One prediction, averaged over the evaluated population",The target's own units,Actual and predicted values,"The squaring is the policy: it weights a single $300 miss like nine separate $100 misses. RMSE materially above MAE announces that error is concentrated in a few large misses. On the worked example, $17.36 against an MAE of $14.00.",Switching to RMSE after losing on the declared metric. A candidate that wins on RMSE after losing on the declared capture and MAE has not won; the goalposts have moved.,RMSE is always at least MAE on the same predictions. Training RMSE cannot rise as nested terms are added; training MAE carries no such guarantee.,,"Chapter 8, Section 8.6"
B.9.8,mse,Mean squared error (MSE),B.9,Regression and predictive-model evaluation,"By how much does a numeric prediction miss, in squared units?",The mean of the squared differences between actual and predicted values; the square of the RMSE on the same predictions,Sum of squared errors,Number of evaluated cases,The outcome window,"Evaluated out of sample, on the same cases as any metric it is compared with","One prediction, averaged over the evaluated population","The square of the target's units — squared dollars for a spend target, which is why the guide reports RMSE instead",Actual and predicted values,"Cataloged because the syllabus names it among the session outcomes, not because the guide reports it. It ranks candidate models identically to RMSE, since the square root is monotone.","Quoting it in a deliverable. Squared dollars are not a quantity any stakeholder can price, and the same information in readable units is one square root away.","MSE must equal the square of the RMSE on the same predictions. Where an assignment asks for MSE, report RMSE beside it.",,Appendix B; the syllabus asks for it and no chapter defines it
B.9.9,baseline,Baseline score,B.9,Regression and predictive-model evaluation,What does the simplest defensible rule achieve under identical conditions?,The mean baseline predicts the training mean for everyone; the majority-class baseline predicts the most common class; the last-value baseline predicts that the previous window repeats,Not applicable,Not applicable,The candidate's own evaluation window,"Exactly the candidate's conditions: same folds, same test set, same metric. The mean must be computed from training labels, never test labels.",Matches the candidate,Matches the candidate's metric,"Training labels, and for the last-value rule the prior window's outcome","The last-value rule is not a strawman; it is the incumbent, and the sorted spreadsheet costs nothing.","Choosing the baseline after the results, which allows a baseline to be chosen to lose.",Declare the baseline before fitting. Computing the mean baseline from test labels hands it a summary of the answers.,,"Chapter 8, Section 8.7"
B.9.10,margin_over_baseline,Margin over baseline,B.9,Regression and predictive-model evaluation,What did the model add over the rule it must beat?,"A signed difference from baseline, stated in the direction in which improvement is positive. For loss metrics such as MAE and RMSE, baseline score − candidate score; for gain metrics such as capture, candidate score − baseline score. Computed on the same folds and the same test set, and preferably as a paired per-fold difference reported with its spread and its count of folds won","The improvement on the shared metric, signed so that a positive value always means the candidate is better",Not applicable,Shared evaluation window,Identical population and folds,One candidate against one baseline,The metric's own units,"Both scores, computed identically","A model's demonstrated value is its margin over the strongest applicable baseline, not its raw score. An MAE of $54 is good if the best naive rule scores $80 and embarrassing if it scores $55.","Subtracting in the wrong direction. Because half the metrics in this appendix improve downward and half improve upward, a single subtraction order cannot serve both, and a margin reported without its direction is unreadable. Separately: a margin smaller than the fold-to-fold spread of the metric it is measured on is not yet a finding.","State which direction represents improvement in the same sentence as the number, and confirm the sign: a model that beats its baseline must produce a positive margin under either convention. Pair fold by fold: folds differ in difficulty, so subtracting the baseline within each fold cancels that and the spread of the differences shows whether the candidate reliably wins or merely averages well.",,"Chapter 8, Section 8.9"
B.9.11,capture,Capture at a selection share,B.9,Regression and predictive-model evaluation,"Of the outcome the population produced, how much did the customers we could afford to treat account for?","Actual outcome of the top-k customers ranked by predicted score / actual outcome of the whole evaluated population, where k is the capacity divided by the population size",Actual outcome-window value of the top-k ranked customers,Actual outcome-window value of the whole evaluated population,The outcome window for the actuals; the snapshot for the ranking,The evaluated population; ties broken deterministically so the marginal name does not change between the analysis and the campaign build,"One ranked list, reported at the population level",Percentage of outcome,"Predicted scores, actual outcomes, a customer key, and a declared capacity","The decision metric when the program can treat only a fixed number of customers. Higher is better, which is the opposite direction from MAE and RMSE.",Reading a capture gap as revenue the program will generate. It says the customers the model selected turned out to spend more than the customers the spreadsheet selected; it says nothing about what either group would have spent untreated.,"A constant score carries no ranking information, so its capture is decided entirely by row order - which is why the mean baseline must break ties on a declared random draw. Compute the selection share from capacity rather than typing a proportion.",,"Chapter 8, Section 8.6"
